episode,step,condition_name,condition_mode,episode_complexity,app_id,model_name,explanation_type,selected_strategy,selected_strategy_available,reward,decision_noise,memory_recall_threshold,opportunity_cost,lr_calculation_prob_correct,lr_heuristic_prob_correct,dt_traversal_prob_correct,lr_calculation_predicted_correct,lr_heuristic_predicted_correct,dt_traversal_predicted_correct,lr_calculation_pred_time,lr_heuristic_pred_time,dt_traversal_pred_time,selected_prob_correct,selected_predicted_class,selected_predicted_correct,selected_pred_time,selected_decision_boundary,selected_mode,selected_features,selected_feature_slots,selected_feature_mask,selected_feature_slot_mask
0,0,decision_tree,mixed,low,wine_binary,xgboost,none,dt_traversal,True,0.526636311453076,0.5,0.5,0.01,0.0,0.0,0.625,False,False,True,0.0,0.0,9.836368854692404,0.625,1,True,9.836368854692404,1.2000000000000002,retrieve,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
0,1,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.8406867759165795,0.5,0.5,0.01,0.0,0.0,1.0,False,False,True,0.0,0.0,15.931322408342053,1.0,1,True,15.931322408342053,1.2000000000000002,read,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
0,2,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.811978162741064,0.5,0.5,0.01,0.0,0.0,0.9375,False,False,True,0.0,0.0,12.552183725893588,0.9375,1,True,12.552183725893588,0.9,read,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
0,3,decision_tree,mixed,low,wine_binary,xgboost,none,dt_traversal,True,0.49375,0.5,0.5,0.01,0.0,0.0,0.5,False,False,False,0.0,0.0,0.625,0.5,0,False,0.625,1.2000000000000002,retrieve,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
0,4,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.8406867759165795,0.5,0.5,0.01,0.0,0.0,1.0,False,False,True,0.0,0.0,15.931322408342053,1.0,1,True,15.931322408342053,1.2000000000000002,read,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
0,5,decision_tree,mixed,low,wine_binary,xgboost,none,dt_traversal,True,0.4940625,0.5,0.5,0.01,0.0,0.0,0.5,False,False,False,0.0,0.0,0.59375,0.5,0,False,0.59375,0.9,retrieve,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
0,6,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.7691344091033029,0.5,0.5,0.01,0.0,0.0,1.0,False,False,True,0.0,0.0,23.086559089669713,1.0,1,True,23.086559089669713,1.8000000000000003,read,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
0,7,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.7691344091033029,0.5,0.5,0.01,0.0,0.0,1.0,False,False,True,0.0,0.0,23.086559089669713,1.0,1,True,23.086559089669713,1.8000000000000003,read,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
0,8,decision_tree,mixed,low,wine_binary,xgboost,none,dt_traversal,True,0.48982744258565825,0.5,0.5,0.01,0.0,0.0,0.5,False,False,False,0.0,0.0,1.0172557414341745,0.5,0,False,1.0172557414341745,0.9,retrieve,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
0,9,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.7691344091033029,0.5,0.5,0.01,0.0,0.0,1.0,False,False,True,0.0,0.0,23.086559089669713,1.0,0,True,23.086559089669713,1.8000000000000003,read,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
