episode,step,condition_name,condition_mode,episode_complexity,app_id,model_name,explanation_type,selected_strategy_slot,strategy_slot_order,selected_strategy,selected_strategy_available,reward,decision_noise,memory_recall_threshold,opportunity_cost,lr_calculation_prob_correct,lr_heuristic_prob_correct,dt_traversal_prob_correct,lr_calculation_predicted_correct,lr_heuristic_predicted_correct,dt_traversal_predicted_correct,lr_calculation_pred_time,lr_heuristic_pred_time,dt_traversal_pred_time,selected_prob_correct,selected_predicted_class,selected_predicted_correct,selected_pred_time,selected_decision_boundary,selected_mode,selected_features,selected_feature_slots,selected_feature_mask,selected_feature_slot_mask,sweep_parameter,sweep_value
0,0,decision_tree,mixed,low,wine_binary,xgboost,none,2,"['lr_calculation', 'lr_heuristic', 'dt_traversal']",dt_traversal,True,0.5863981501477198,0.3,0.5,0.01,0.0,0.0,0.65625,False,False,True,0.0,0.0,6.985184985228016,0.65625,1,True,6.985184985228016,0.6,retrieve,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",decision_noise,0.3
0,1,decision_tree,mixed,low,wine_binary,xgboost,dt,2,"['lr_calculation', 'lr_heuristic', 'dt_traversal']",dt_traversal,True,0.8432375177931766,0.3,0.5,0.01,0.0,0.0,1.0,False,False,True,0.0,0.0,15.676248220682346,1.0,1,True,15.676248220682346,0.9,read,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",decision_noise,0.3
0,2,decision_tree,mixed,low,wine_binary,xgboost,dt,2,"['lr_calculation', 'lr_heuristic', 'dt_traversal']",dt_traversal,True,0.8432375177931766,0.3,0.5,0.01,0.0,0.0,1.0,False,False,True,0.0,0.0,15.676248220682346,1.0,1,True,15.676248220682346,0.9,read,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",decision_noise,0.3
0,3,decision_tree,mixed,low,wine_binary,xgboost,none,2,"['lr_calculation', 'lr_heuristic', 'dt_traversal']",dt_traversal,True,0.4878485356466537,0.3,0.5,0.01,0.0,0.0,0.5,False,False,False,0.0,0.0,1.2151464353346304,0.5,0,False,1.2151464353346304,1.2000000000000002,retrieve,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",decision_noise,0.3
0,4,decision_tree,mixed,low,wine_binary,xgboost,dt,2,"['lr_calculation', 'lr_heuristic', 'dt_traversal']",dt_traversal,True,0.8111531406929182,0.3,0.5,0.01,0.0,0.0,1.0,False,False,True,0.0,0.0,18.884685930708173,1.0,1,True,18.884685930708173,1.2000000000000002,read,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",decision_noise,0.3
0,5,decision_tree,mixed,low,wine_binary,xgboost,none,2,"['lr_calculation', 'lr_heuristic', 'dt_traversal']",dt_traversal,True,0.48853867243103677,0.3,0.5,0.01,0.0,0.0,0.5,False,False,False,0.0,0.0,1.1461327568963235,0.5,0,False,1.1461327568963235,0.9,retrieve,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",decision_noise,0.3
0,6,decision_tree,mixed,low,wine_binary,xgboost,dt,2,"['lr_calculation', 'lr_heuristic', 'dt_traversal']",dt_traversal,True,0.8432375177931766,0.3,0.5,0.01,0.0,0.0,1.0,False,False,True,0.0,0.0,15.676248220682346,1.0,1,True,15.676248220682346,0.9,read,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",decision_noise,0.3
0,7,decision_tree,mixed,low,wine_binary,xgboost,dt,2,"['lr_calculation', 'lr_heuristic', 'dt_traversal']",dt_traversal,True,0.8432375177931766,0.3,0.5,0.01,0.0,0.0,1.0,False,False,True,0.0,0.0,15.676248220682346,1.0,1,True,15.676248220682346,0.9,read,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",decision_noise,0.3
0,8,decision_tree,mixed,low,wine_binary,xgboost,none,2,"['lr_calculation', 'lr_heuristic', 'dt_traversal']",dt_traversal,True,0.4940625,0.3,0.5,0.01,0.0,0.0,0.5,False,False,False,0.0,0.0,0.59375,0.5,0,False,0.59375,0.9,retrieve,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",decision_noise,0.3
0,9,decision_tree,mixed,low,wine_binary,xgboost,dt,2,"['lr_calculation', 'lr_heuristic', 'dt_traversal']",dt_traversal,True,0.8111531406929182,0.3,0.5,0.01,0.0,0.0,1.0,False,False,True,0.0,0.0,18.884685930708173,1.0,0,True,18.884685930708173,1.2000000000000002,read,[],[],"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",decision_noise,0.3
